legislator_id,week,ideology_score
cand1474,Week 2,-1.2884006397231054
cand880,Week 2,0.9997059115695452
cand1198,Week 2,-0.8976990362367198
cand885,Week 2,1.032206208859245
cand601,Week 2,0.46532462258285073
cand1443,Week 2,-0.15646086870809206
cand1494,Week 2,0.3278557224372217
cand230,Week 2,-0.7630833726094722
cand1455,Week 2,-0.5092562747560713
cand770,Week 2,1.081763199408694
cand408,Week 2,0.4280214956667447
cand396,Week 2,0.155363963697218
cand1496,Week 2,-1.2208845440355596
cand1303,Week 2,1.4010274195140344
cand1340,Week 2,1.3582664647597111
cand776,Week 2,-0.943747118255259
cand884,Week 2,1.1408123758325546
cand788,Week 2,-1.9708365162455288
cand253,Week 2,-1.2427951275818092
cand107,Week 2,1.1238136122926494
cand721,Week 2,-0.7774165488497973
