legislator_id,week1_score,week2_score,change,direction
cand1458,-0.14639432120375928,-0.44463805949883556,-0.2982437382950763,More Liberal
cand1303,1.1028725402444142,1.4010274195140344,0.29815487926962025,More Conservative
cand1340,1.0619103572015625,1.3582664647597111,0.2963561075581487,More Conservative
cand880,0.7233082574413692,0.9997059115695452,0.2763976541281761,More Conservative
cand1347,0.994574598486381,1.2673854749547147,0.2728108764683337,More Conservative
cand1503,-0.7660409341131428,-1.024055463525468,-0.25801452941232517,More Liberal
cand763,1.1577296132452577,1.4031995535888626,0.24546994034360492,More Conservative
cand730,0.954069693990938,1.1781296116834536,0.22405991769251565,More Conservative
cand837,0.8500304484533944,1.0135987378594298,0.1635682894060354,More Conservative
cand799,0.4936977380695141,0.6519635087101632,0.15826577064064906,More Conservative
